Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805,73.38,-52.43,-90.0,top
C10,100nF,C_0805,99.43,-54.06,90.0,top
C11,100nF,C_0805,69.1,-52.44,90.0,top
C12,100nF,C_0805,95.14,-72.39,0.0,top
C13,10uF,C_0805,71.28,-65.9,-90.0,top
C14,10uF,C_0805,96.74,-92.29,180.0,top
C15,10uF,C_0805,93.22,-92.29,0.0,top
C16,10uF,C_0805,100.29,-86.88,0.0,top
C2,10uF,C_0805,89.65,-74.95,0.0,top
C3,1uF,C_0805,89.66,-72.73,0.0,top
C4,1uF,C_0805,95.63,-77.67,-90.0,top
C5,10uF,C_0805,95.03,-74.82,180.0,top
C6,100nF,C_0805,78.3,-89.76,180.0,top
C7,22pF,C_0805,83.5,-78.87,90.0,top
C8,22pF,C_0805,86.18,-76.11,180.0,top
C9,100nF,C_0805,73.48,-65.9,-90.0,top
D1,SS14,D_SMA,94.21,-81.96,180.0,top
D2,Green,D_0805,95.09,-43.58,0.0,top
D3,Red,D_0805,100.64,-83.53,0.0,top
D4,White,D_0603,104.45,-83.42,0.0,top
J1,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,83.96,-94.57,0.0,top
J2,Buzzer,PinSocket_1x03_P2.54mm_Vertical,64.505,-77.055,180.0,top
J3,DHT11,PinSocket_1x03_P2.54mm_Vertical,102.67,-54.83,0.0,top
J4,OLED,PinSocket_1x08_P2.54mm_Vertical,64.77,-58.8,0.0,top
J5,BTN,PinSocket_1x03_P2.54mm_Vertical,102.72,-65.71,0.0,top
J6,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,104.17,-92.61,90.0,top
Q1,SS8050,SOT-23,80.14,-75.9625,0.0,top
Q2,SS8050,SOT-23,76.35,-76.1575,0.0,top
Q3,2N2222,SOT-23,68.805,-77.39,90.0,top
Q4,AO3401A,SOT-23,101.23,-77.5725,0.0,top
R10,5.1kΩ,R_0805,81.76,-89.7,180.0,top
R11,5.1kΩ,R_0805,86.3,-89.69,0.0,top
R12,470Ω,R_0805,76.37,-83.61,90.0,top
R13,470Ω,R_0805,76.38,-87.03,90.0,top
R14,1kΩ,R_0805,72.81,-77.33,-90.0,top
R15,10kΩ,R_0805,72.78,-80.81,90.0,top
R16,1kΩ,R_0805,95.04,-46.62,0.0,top
R17,10kΩ,R_0805,99.5,-64.36,90.0,top
R19,2.4kΩ,R_0603,92.95,-94.51,0.0,top
R20,100kΩ,R_0805,101.23,-74.44,0.0,top
R21,100kΩ,R_0805,97.94,-76.98,90.0,top
R22,1kΩ,R_0805,100.63,-81.39,0.0,top
R23,1kΩ,R_0805,104.52,-81.38,0.0,top
R3,10kΩ,R_0805,93.87,-64.26,90.0,top
R4,10kΩ,R_0805,71.24,-52.45,-90.0,top
R5,10kΩ,R_0805,72.69,-55.31,0.0,top
R6,10kΩ,R_0805,94.56,-59.05,180.0,top
R7,10kΩ,R_0805,94.5,-61.18,180.0,top
R8,10kΩ,R_0805,80.21,-79.53,0.0,top
R9,10kΩ,R_0805,76.49,-79.57,180.0,top
S1,Boot,SW_TS-1088-AR02016,83.53,-72.08,0.0,top
S2,Reset,SW_TS-1088-AR02016,76.99,-72.01,0.0,top
U1,ESP-12F,ESP-12E,83.71,-59.02,0.0,top
U2,AP2112K-3.3,SOT-23-5,92.3575,-77.67,270.0,top
U3,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,82.86,-84.55,0.0,top
U4,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,94.14,-88.41,-90.0,top
X1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,86.72,-78.845,0.0,top
